Designator,Footprint,Quantity,Value,LCSC Part #
12V_1,TestPoint_Pad_D1.5mm,1,12v,
3V3_1,TestPoint_Pad_D1.5mm,1,3v3,
5V1,TestPoint_Pad_D1.5mm,1,5v,
B1,BS-02-A1AJ010,1,BS-02-A1AJ010,C5239862
"C1, C2, C3, C4",0603,4,CL10C180JB8NNNC,C1647
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C32, C37, C44, C45, C46, C48, C59, C6, C62, C63, C64, C65, C66, C7, C71, C72, C73, C74, C75, C76, C77, C78, C8",0603,43,CL10B104KB8NNNC,C1591
"C33, C34, C35, C36, C5, C68, C69",0603,7,CC0603KRX7R0BB103,C107059
C38,EEFCX0J101R,1,EEFCX0J101R,C189619
"C39, C40, C41, C42",GCM21BR71A106KE22L,4,GCM21BR71A106KE22L,C126586
C43,0603,1,CL10A475KO8NNNC,C19666
C47,0603,1,CC0603KRX7R0BB104,C113803
"C49, C52, C53, C54, C55, C56, C67",0805,7,GRM21BC8YA106KE11L,C469541
"C50, C57",0603,2,CC0603KRX7R0BB221,C107061
C51,0603,1,CC0603KRX7R9BB122,C107073
"C58, C60, C61",0603,3,GRM188R61H225KE11D,C162273
C70,0603,1,CC0603JRX7R7BB105,C519560
C9,25TQC22MYFB,1,25TQC22MYFB,C3018703
CANRX_1,TestPoint_Pad_D1.5mm,1,CanRx,
CANTX_1,TestPoint_Pad_D1.5mm,1,CanTx,
CN1,39281243,1,39281243,C114088
CN2,S3B-XH-A-1_LF_SN,1,S3B-XH-A-1_LF_SN,C163036
D1,PESD1CAN_215,1,PESD1CAN_215,C15771
D10,MMBZ5242BLT3G,1,MMBZ5242BLT3G,C896784
"D11, D12, D5, D7, D8, D9",1N4148WS_C917117,6,1N4148WS_C917117,C917117
"D2, D3, D6",SRV05-4_C558418,3,SRV05-4_C558418,C558418
D4,SS12_C18199177,1,SS12_C18199177,C18199177
DISPPWM1,TestPoint_Pad_D1.5mm,1,DispPwm,
GND1,TestPoint_Pad_2.0x2.0mm,1,GND,
"H1, H3",PZ254R-11-04P,2,PZ254R-11-04P,C492412
I2CSCL_1,TestPoint_Pad_D1.5mm,1,I2cScl,
I2CSDA_1,TestPoint_Pad_D1.5mm,1,I2cSda,
L1,LQM2HPN2R2MG0L,1,LQM2HPN2R2MG0L,C86092
L2,BLM18PG121SN1D_C14709,1,BLM18PG121SN1D_C14709,C14709
L3,SRN6045TA-3R3Y,1,SRN6045TA-3R3Y,C3221229
Q2,SOT-323_SC-70,1,2N7002WT1G,C232391
Q3,DMP3013SFV-7_ES,1,DMP3013SFV-7_ES,C42412325
"R1, R70",0603,2,PTFR0603B100RN9,C394538
"R10, R16, R19, R20, R21, R3, R39, R4, R40, R41, R42, R43, R48, R49, R50, R51, R56, R57, R6, R71, R72, R73, R74, R75, R76, R77, R78, R8, R87, R88, R89, R9, R90, R91",0603,34,RT0603BRD0710KL,C95204
"R11, R22, R23, R24, R45, R47, R52, R53",0603,8,FRC0603F5601TS,C2907046
R13,0603,1,FRC0603F8202TS,C2907072
R2,1210,1,RK73B2ETTD180J,C830159
"R27, R31, R35, R36, R62, R63, R64, R65",0603,8,FRC0603F2401TS,C2907007
"R28, R30, R33, R34, R58, R59, R60, R61",0603,8,FRC0603F6200TS,C2907058
"R29, R32, R37, R38, R66, R67, R68, R69, R79, R81, R82",0603,11,FRC0603F4701TS,C2907034
"R44, R46, R54, R55",0603,4,FRC0603F2701TS,C2907008
R7,0603,1,FRC0603F1200TS,C2906988
R80,0603,1,FRC0603F1001TS,C2907002
"R83, R86",0603,2,RC0603FR-0712KL,C114659
R84,0603,1,FRC0603F2002TS,C2907011
R85,0603,1,FRC0603F2201TS,C2907005
SPICS2_1,TestPoint_Pad_D1.5mm,1,SpiCs2,
SPIMISO_1,TestPoint_Pad_D1.5mm,1,SpiMiso,
SPIMOSI_1,TestPoint_Pad_D1.5mm,1,SpiMosi,
SPISCK_1,TestPoint_Pad_D1.5mm,1,SpiSck,
"SW1, SW3",EC11E15244G1,2,EC11E15244G1,C370970
SW2,TS3643TP,1,TS3643TP,C398054
SW4,MINI_MSK12CO2,1,MINI_MSK12CO2,C2681570
U1,LQFP-100_14x14mm_P0.5mm,1,STM32U585VIT6Q,C5270986
U10,W25Q32JVSSIQ_C179173,1,W25Q32JVSSIQ_C179173,C179173
"U11, U6",MCP6004T-I_SL,2,MCP6004T-I_SL,C7378
"U12, U13, U8, U9",ILD207T,4,ILD207T,C71049
U14,BH1750FVI-TR,1,BH1750FVI-TR,C78960
U16,0603,1,CRCW060310R0FKEAHP,C313648
U3,TJA1051T_3_1J,1,TJA1051T_3_1J,C38695
U4,AMS1117-3_3,1,AMS1117-3_3,C6186
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,AP64501SP-13,C2071517
U7,REF3333AIDBZR,1,REF3333AIDBZR,C130016
VR3,3362P-1-103LF_C48997950,1,3362P-1-103LF_C48997950,C48997950
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322525MOB4SI,C9006
X2,Q13FC1350000400,1,Q13FC1350000400,C32346
