Designator,Mid X,Mid Y,Rotation,Layer
12V_1,207.11,38.79,0.0,bottom
3V3_1,216.9,38.79,0.0,bottom
5V1,212.3,38.79,0.0,bottom
B1,101.899791,74.563502,90.0,bottom
C1,140.35,73.2,180.0,bottom
C10,81.687,47.33,180.0,bottom
C11,121.55,54.3,270.0,top
C12,121.55,39.7,270.0,top
C13,127.0,39.7,90.0,top
C14,127.0,54.3,90.0,top
C15,142.0,54.3,270.0,top
C16,142.0,39.7,270.0,top
C17,145.8,39.7,270.0,top
C18,145.8,54.3,270.0,top
C19,118.125,92.4,180.0,top
C2,143.15,76.35,270.0,bottom
C21,81.725,57.85,180.0,bottom
C22,132.5,54.3,270.0,top
C23,132.5,39.7,270.0,top
C24,138.0,54.325,90.0,top
C25,138.0,39.7,90.0,top
C26,149.6,39.7,270.0,top
C27,149.6,54.3,270.0,top
C28,153.4,39.7,270.0,top
C29,153.4,54.3,270.0,top
C3,144.8,74.225,90.0,bottom
C30,135.8,83.75,270.0,top
C32,106.7,88.52,90.0,bottom
C33,234.6,87.8,0.0,bottom
C34,234.593097,66.923731,0.0,bottom
C35,240.543097,66.999999,0.0,bottom
C36,246.493097,67.049999,0.0,bottom
C37,137.0,112.0,90.0,bottom
C38,213.725,62.440387,180.0,bottom
C39,213.725,51.140387,180.0,bottom
C4,147.3,74.225,90.0,bottom
C40,213.725,53.4,180.0,bottom
C41,213.725,55.659613,180.0,bottom
C42,213.725,57.919226,180.0,bottom
C43,192.65,66.74,270.0,bottom
C44,178.65,49.675,270.0,bottom
C45,201.225,47.065387,180.0,bottom
C46,201.115,55.340387,270.0,bottom
C47,170.36,47.55,90.0,bottom
C48,150.95,81.875,270.0,bottom
C49,197.12175,49.640387,90.0,bottom
C5,125.35,73.3,0.0,bottom
C50,204.525,55.340387,270.0,bottom
C51,209.825,55.640387,270.0,bottom
C52,194.825,49.640387,90.0,bottom
C53,192.525,49.640387,90.0,bottom
C54,190.225,49.640387,90.0,bottom
C55,187.925,49.640387,90.0,bottom
C56,185.625,49.640387,90.0,bottom
C57,208.065,52.440387,270.0,bottom
C58,152.65,81.875,270.0,bottom
C59,129.3,97.35,270.0,bottom
C6,98.65,47.8,180.0,bottom
C60,131.0,97.35,270.0,bottom
C61,134.1,85.4,270.0,top
C62,146.85,93.0,90.0,top
C63,145.25,93.0,90.0,top
C64,136.45,94.35,180.0,top
C65,132.8,82.75,180.0,top
C66,136.15,92.4,180.0,top
C67,142.275,65.225,0.0,top
C68,240.55,87.8,0.0,bottom
C69,246.525,87.8,0.0,bottom
C7,108.1,50.55,0.0,bottom
C70,136.7,88.15,0.0,top
C71,136.7,86.5,180.0,top
C72,145.25,82.65,0.0,top
C73,141.55,83.95,270.0,top
C74,228.35,92.7,270.0,top
C75,169.6,71.0795,0.0,bottom
C76,162.294,71.0795,0.0,bottom
C77,176.7,71.0795,0.0,bottom
C78,183.895,71.0495,0.0,bottom
C8,141.2,89.25,180.0,top
C9,195.45,66.99,90.0,bottom
CANRX_1,101.65,52.8,0.0,bottom
CANTX_1,94.35,52.8,0.0,bottom
CN1,140.4,46.85,180.0,bottom
CN2,62.05,74.592916,270.0,top
D1,111.8,47.2,0.0,top
D10,181.8,49.35,270.0,bottom
D11,239.8,85.1,270.0,bottom
D12,245.75,85.1,270.0,bottom
D2,81.8,40.15,270.0,top
D3,81.8,65.45004,90.0,top
D4,95.17,90.14,90.0,bottom
D5,245.743097,64.349999,270.0,bottom
D6,146.25,64.275,270.0,top
D7,239.793097,64.299999,270.0,bottom
D8,233.843097,64.223731,270.0,bottom
D9,233.85,85.1,270.0,bottom
DISPPWM1,53.35,75.35,0.0,bottom
GND1,221.97,38.79,0.0,bottom
H1,173.012736,105.85,0.0,bottom
H3,192.262736,105.85,0.0,bottom
I2CSCL_1,129.25,112.25,0.0,bottom
I2CSDA_1,122.25,112.25,0.0,bottom
JP1,237.3075,69.5,90.0,top
